"GJK_Browscap_Version","GJK_Browscap_Version"
"5029","Thu, 08 May 2014 07:17:44 +0000"
"PropertyName","AgentID","MasterParent","LiteMode","Parent","Comment","Browser","Version","MajorVer","MinorVer","Platform","Platform_Version","Alpha","Beta","Win16","Win32","Win64","Frames","IFrames","Tables","Cookies","BackgroundSounds","JavaScript","VBScript","JavaApplets","ActiveXControls","isMobileDevice","isTablet","isSyndicationReader","Crawler","CssVersion","AolVersion"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/19.0*","40090","false","true","Firefox 19.0","Firefox 19.0","Firefox","19.0","19","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 7.0; *Windows NT 6.0*Trident/4.0*)*","44317","false","true","IE 8.0","IE 8.0 in IE 7.0 Compatibility Mode","IE","8.0","8","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/15.0*","39697","false","true","Firefox 15.0","Firefox 15.0","Firefox","15.0","15","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/3.0*","38325","false","true","Firefox 3.0","Firefox 3.0","Firefox","3.0","3","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (iPad*CPU OS 7* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/*Mobile/*Safari/*","21626","false","true","Mobile Safari Generic","Mobile Safari Generic","Safari","0.0","0","0","iOS","7.0","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","3","0"
"Mozilla/*(*Windows NT 6.3*Trident/7.0*rv:11.0*)*","43898","false","true","IE 11.0","IE 11.0","IE","11.0","11","0","Win8.1","6.3","false","true","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/26.0*","40776","false","true","Firefox 26.0","Firefox 26.0","Firefox","26.0","26","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Microsoft-WebDAV-MiniRedir/6.1*","959","false","false","Microsoft","Microsoft","Microsoft-WebDAV","6.1","6","1","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","0","0"
"Mozilla/*(*MSIE 10.*Windows NT 6.2*Trident/6.0*)*","43846","false","true","IE 10.0","IE 10.0","IE","10.0","10","0","Win8","6.2","false","true","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Linux x86_64*) Gecko/* Firefox/11.0*","39276","false","true","Firefox 11.0","Firefox 11.0","Firefox","11.0","11","0","Linux","","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (iPad*CPU OS 7* like Mac OS X*) AppleWebKit/* (KHTML, like Gecko) *CriOS/35.*Safari/*","10643","false","true","Chrome 35.0 for iOS","Chrome 35.0","Chrome","35.0","35","0","iOS","7.0","false","false","false","false","false","true","true","true","true","false","true","false","true","false","true","true","false","false","3","0"
"Mozilla/*(compatible; MSIE 10.0; *Windows NT 6.3*WOW64*Trident/7.0*)*","43923","false","true","IE 11.0","IE 11.0","IE","11.0","11","0","Win8.1","6.3","false","true","false","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*MSIE 10* *Windows Phone 8* *Trident/6.0* *IEMobile/10*)","19040","false","true","IEMobile 10.0","IEMobile","IEMobile","10.0","10","0","WinPhone8","8.0","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
"Mozilla/5.0 (*Linux*Android 4.3*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10192","false","true","Chrome 35.0 for Android","Chrome 35.0","Chrome","35.0","35","0","Android","4.3","false","false","false","false","false","true","true","true","true","false","true","false","true","false","true","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 7.0*; *Windows NT 6.0*)*","44245","false","true","IE 7.0","IE 7.0","IE","7.0","7","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/5.0 (BB10; Touch) AppleWebKit/* (KHTML, like Gecko)*","24165","false","false","BlackBerry 10.0","DefaultProperties","BlackBerry","10.0","10","0","RIM OS","10","false","false","false","false","false","true","false","true","true","false","true","false","false","false","true","false","false","false","2","0"
