"GJK_Browscap_Version","GJK_Browscap_Version"
"5029","Thu, 08 May 2014 07:17:44 +0000"
"PropertyName","AgentID","MasterParent","LiteMode","Parent","Comment","Browser","Version","MajorVer","MinorVer","Platform","Platform_Version","Alpha","Beta","Win16","Win32","Win64","Frames","IFrames","Tables","Cookies","BackgroundSounds","JavaScript","VBScript","JavaApplets","ActiveXControls","isMobileDevice","isTablet","isSyndicationReader","Crawler","CssVersion","AolVersion"
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9900; *) AppleWebKit/* (KHTML,*like Gecko*) Version/7.1*Safari/*","24573","false","false","BlackBerry 7.1","DefaultProperties","BlackBerry","7.1","7","1","RIM OS","7.1","false","false","false","false","false","true","false","true","true","false","true","false","false","false","true","false","false","false","2","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/26.*Safari/*","11677","false","true","Chrome 26.0","Chrome 26.0","Chrome","26.0","26","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/32.*Safari/*","8327","false","true","Chrome 32.0","Chrome 32.0","Chrome","32.0","32","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/17.0*","39894","false","true","Firefox 17.0","Firefox 17.0","Firefox","17.0","17","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.3*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9517","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","Win8.1","6.3","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (iPad*CPU OS 7_1* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/7.0*Mobile/*Safari/*","22469","false","true","Mobile Safari 7.0","Mobile Safari 7.0","Safari","7.0","7","0","iOS","7.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","3","0"
"Mozilla/5.0 (iPhone*CPU iPhone OS 7_1* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/7.0*Mobile/*Safari/*","22483","false","true","Mobile Safari 7.0","Mobile Safari 7.0","Safari","7.0","7","0","iOS","7.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 8.0*; *Windows NT 5.2*Trident/4.0*)*","44297","false","true","IE 8.0","IE 8.0","IE","8.0","8","0","WinXP","5.2","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/*(*Windows NT 6.3*WOW64*Trident/7.0*rv:11.0*)*","43899","false","true","IE 11.0","IE 11.0","IE","11.0","11","0","Win8.1","6.3","false","true","false","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/*(*MSIE 10.*Windows NT 6.2*WOW64*Trident/6.0*)*","43847","false","true","IE 10.0","IE 10.0","IE","10.0","10","0","Win8","6.2","false","true","false","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Linux*Android 4.0** Build/*) AppleWebKit/* (KHTML,*like Gecko*) Version/4.0*Safari/*","19896","false","true","Android Browser 4.0","Android Browser 4.0","Android","4.0","4","0","Android","4.0","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
